test_batch,output,configuration,features,learned_kernel
788,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.27**2 * RBF(length_scale=[0.905, 1.17, 20, 1.95, 20, 3.45, 20]) + WhiteKernel(noise_level=7.84e-05)"
788,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.53**2 * RBF(length_scale=[0.742, 20, 20, 1.37, 6.81, 6.88, 4.79]) + WhiteKernel(noise_level=0.000339)"
803,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.24**2 * RBF(length_scale=[1.25, 2.29, 20, 2.28, 20, 2.55]) + WhiteKernel(noise_level=3.25e-05)"
803,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.76**2 * RBF(length_scale=[0.793, 4.76, 8.32, 12.9, 20, 5.5]) + WhiteKernel(noise_level=0.000215)"
803,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.23**2 * RBF(length_scale=[1.25, 2.28, 19.2, 2.21, 20, 2.61, 20]) + WhiteKernel(noise_level=3.19e-05)"
803,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","2.96**2 * RBF(length_scale=[1.68, 5.95, 14.9, 3.82, 4.88, 4.89, 20]) + WhiteKernel(noise_level=0.0011)"
815,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.21**2 * RBF(length_scale=[0.856, 1.12, 19.7, 1.72, 20, 2.81]) + WhiteKernel(noise_level=0.000184)"
815,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.46**2 * RBF(length_scale=[0.72, 1.61, 6.03, 3.97, 20, 3.95]) + WhiteKernel(noise_level=0.000437)"
815,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.26**2 * RBF(length_scale=[0.867, 20, 20, 1.63, 20, 2.12, 2.79]) + WhiteKernel(noise_level=0.000179)"
815,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.51**2 * RBF(length_scale=[0.713, 1.54, 6.37, 20, 20, 3.69, 20]) + WhiteKernel(noise_level=0.00043)"
830,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.51**2 * RBF(length_scale=[0.842, 1.48, 20, 1.79, 20, 4.93]) + WhiteKernel(noise_level=0.000196)"
830,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.99**2 * RBF(length_scale=[0.768, 7.98, 11.6, 1.57, 20, 3.97]) + WhiteKernel(noise_level=0.000588)"
830,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.5**2 * RBF(length_scale=[0.841, 1.47, 20, 1.8, 20, 4.88, 20]) + WhiteKernel(noise_level=0.000196)"
830,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.99**2 * RBF(length_scale=[0.767, 7.94, 11.5, 1.6, 20, 3.94, 20]) + WhiteKernel(noise_level=0.000588)"
857,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.33**2 * RBF(length_scale=[0.839, 1.38, 20, 2.92, 20, 3.91]) + WhiteKernel(noise_level=0.000134)"
857,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.74**2 * RBF(length_scale=[0.749, 2.51, 5.92, 3.69, 20, 3.37]) + WhiteKernel(noise_level=0.000443)"
857,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.29**2 * RBF(length_scale=[0.837, 1.37, 20, 2.86, 20, 3.74, 20]) + WhiteKernel(noise_level=0.000134)"
857,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.64**2 * RBF(length_scale=[0.748, 2.46, 6.11, 3.6, 20, 3.14, 20]) + WhiteKernel(noise_level=0.000449)"
881,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.88**2 * RBF(length_scale=[0.813, 0.968, 20, 1.16, 17.4, 2.25]) + WhiteKernel(noise_level=0.000117)"
881,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.02**2 * RBF(length_scale=[0.666, 20, 3.45, 0.706, 2.67, 2.87]) + WhiteKernel(noise_level=0.000583)"
881,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","0.916**2 * RBF(length_scale=[0.808, 1.02, 20, 1.38, 16.9, 2.4, 10]) + WhiteKernel(noise_level=0.000115)"
881,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.1**2 * RBF(length_scale=[0.674, 20, 4.07, 1.7, 20, 2.8, 1.3]) + WhiteKernel(noise_level=0.000555)"
883,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.43**2 * RBF(length_scale=[0.839, 1.61, 20, 2.01, 20, 3.23]) + WhiteKernel(noise_level=0.000123)"
