test_batch,output,strategy,learned_kernel
229,T,same_delta_frac_A,"2.71**2 * RBF(length_scale=[0.495, 2.7, 17.2, 6.71, 20, 20]) + WhiteKernel(noise_level=6.31e-08)"
229,Cb,same_delta_Tc,"2.28**2 * RBF(length_scale=[1.27, 1.61, 20, 3.92, 20, 9.95]) + WhiteKernel(noise_level=2.63e-05)"
229,T,same_delta_Tc,"2.44**2 * RBF(length_scale=[0.519, 2.5, 18.8, 4.67, 20, 20]) + WhiteKernel(noise_level=8.41e-07)"
229,Cb,same_both,"2.4**2 * RBF(length_scale=[1.35, 1.93, 20, 16.2, 20, 9.08]) + WhiteKernel(noise_level=2.07e-05)"
229,T,same_both,"2.3**2 * RBF(length_scale=[0.467, 2.93, 18.2, 9.31, 20, 20]) + WhiteKernel(noise_level=1e-08)"
232,Cb,unrestricted,"1.59**2 * RBF(length_scale=[0.818, 2.14, 20, 9.55, 20, 7.94]) + WhiteKernel(noise_level=1.08e-05)"
232,T,unrestricted,"2.6**2 * RBF(length_scale=[0.527, 2.72, 14.7, 5.76, 20, 8.04]) + WhiteKernel(noise_level=9.76e-06)"
232,Cb,same_delta_frac_A,"1.62**2 * RBF(length_scale=[0.599, 1.99, 20, 7.29, 20, 10]) + WhiteKernel(noise_level=4.2e-07)"
232,T,same_delta_frac_A,"2.4**2 * RBF(length_scale=[0.538, 2.67, 16.3, 4.98, 20, 11.5]) + WhiteKernel(noise_level=7.34e-08)"
232,Cb,same_delta_Tc,"1.37**2 * RBF(length_scale=[0.54, 1.83, 20, 4.52, 20, 7.57]) + WhiteKernel(noise_level=1.07e-06)"
232,T,same_delta_Tc,"1.98**2 * RBF(length_scale=[0.491, 2.85, 13.4, 2.91, 20, 6.49]) + WhiteKernel(noise_level=3.63e-06)"
232,Cb,same_both,"1.57**2 * RBF(length_scale=[0.485, 1.96, 20, 5.4, 20, 8.67]) + WhiteKernel(noise_level=4.03e-07)"
232,T,same_both,"2.11**2 * RBF(length_scale=[0.458, 2.62, 13.8, 3.88, 20, 8.66]) + WhiteKernel(noise_level=3.91e-06)"
234,Cb,unrestricted,"1.52**2 * RBF(length_scale=[0.52, 1.74, 20, 4.23, 20, 8.02]) + WhiteKernel(noise_level=1.42e-06)"
234,T,unrestricted,"1.95**2 * RBF(length_scale=[0.454, 2.11, 16.6, 4.91, 20, 11.6]) + WhiteKernel(noise_level=1.76e-06)"
234,Cb,same_delta_frac_A,"1.47**2 * RBF(length_scale=[0.463, 2.1, 20, 5.5, 20, 6.87]) + WhiteKernel(noise_level=5.68e-07)"
234,T,same_delta_frac_A,"2.52**2 * RBF(length_scale=[0.441, 3.02, 17.4, 5.56, 20, 9.02]) + WhiteKernel(noise_level=1.15e-05)"
234,Cb,same_delta_Tc,"1.52**2 * RBF(length_scale=[0.52, 1.74, 20, 4.23, 20, 8.02]) + WhiteKernel(noise_level=1.42e-06)"
234,T,same_delta_Tc,"1.95**2 * RBF(length_scale=[0.454, 2.11, 16.6, 4.91, 20, 11.6]) + WhiteKernel(noise_level=1.76e-06)"
234,Cb,same_both,"1.47**2 * RBF(length_scale=[0.463, 2.1, 20, 5.5, 20, 6.87]) + WhiteKernel(noise_level=5.68e-07)"
234,T,same_both,"2.52**2 * RBF(length_scale=[0.441, 3.02, 17.4, 5.56, 20, 9.02]) + WhiteKernel(noise_level=1.15e-05)"
250,Cb,unrestricted,"3.17**2 * RBF(length_scale=[1.27, 3.39, 20, 20, 20, 12.8]) + WhiteKernel(noise_level=2.91e-05)"
250,T,unrestricted,"3.11**2 * RBF(length_scale=[0.48, 5.19, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
250,Cb,same_delta_frac_A,"3.17**2 * RBF(length_scale=[1.27, 3.39, 20, 20, 20, 12.8]) + WhiteKernel(noise_level=2.91e-05)"
250,T,same_delta_frac_A,"3.11**2 * RBF(length_scale=[0.48, 5.19, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
250,Cb,same_delta_Tc,"3.09**2 * RBF(length_scale=[1.23, 2.31, 20, 12.1, 20, 11.2]) + WhiteKernel(noise_level=3.05e-05)"
250,T,same_delta_Tc,"2.56**2 * RBF(length_scale=[0.46, 3.34, 20, 12.7, 20, 20]) + WhiteKernel(noise_level=1e-08)"
250,Cb,same_both,"3.09**2 * RBF(length_scale=[1.23, 2.31, 20, 12.1, 20, 11.2]) + WhiteKernel(noise_level=3.05e-05)"
250,T,same_both,"2.56**2 * RBF(length_scale=[0.46, 3.34, 20, 12.7, 20, 20]) + WhiteKernel(noise_level=1e-08)"
257,Cb,unrestricted,"1.61**2 * RBF(length_scale=[1.02, 3.43, 20, 7.71, 20, 4.96]) + WhiteKernel(noise_level=1.34e-05)"
