test_batch,output,strategy,learned_kernel
401,Cb,without_delta_frac_A,"2.49**2 * RBF(length_scale=[1.21, 1.61, 20, 4.93, 20, 9.38]) + WhiteKernel(noise_level=3.6e-05)"
401,T,without_delta_frac_A,"1.9**2 * RBF(length_scale=[0.534, 1.81, 19.9, 4.58, 20, 20]) + WhiteKernel(noise_level=1.84e-06)"
401,Cb,without_delta_Tc,"3.87**2 * RBF(length_scale=[1.26, 10.7, 20, 20, 20, 14.6]) + WhiteKernel(noise_level=2.77e-05)"
401,T,without_delta_Tc,"2.89**2 * RBF(length_scale=[0.473, 16.2, 20, 20, 20, 20]) + WhiteKernel(noise_level=1e-08)"
401,Cb,initial_only,"3.19**2 * RBF(length_scale=[1.23, 1.74, 20, 5.23, 20, 15.2]) + WhiteKernel(noise_level=2.61e-05)"
401,T,initial_only,"2.25**2 * RBF(length_scale=[0.511, 2.45, 16.3, 6.38, 20, 20]) + WhiteKernel(noise_level=1.2e-06)"
401,Cb,disturbance_only,"3.17**2 * RBF(length_scale=[1.28, 11.3, 20, 20, 20, 10.3]) + WhiteKernel(noise_level=3.31e-05)"
401,T,disturbance_only,"3.27**2 * RBF(length_scale=[0.477, 18.4, 20, 20, 20, 19.2]) + WhiteKernel(noise_level=1e-08)"
424,Cb,full,"1.36**2 * RBF(length_scale=[0.553, 3.11, 20, 4.89, 20, 6.45]) + WhiteKernel(noise_level=1.28e-06)"
424,T,full,"3.33**2 * RBF(length_scale=[0.503, 5.06, 10, 4.68, 20, 16.1]) + WhiteKernel(noise_level=6.27e-06)"
424,Cb,without_delta_frac_A,"1.48**2 * RBF(length_scale=[0.514, 1.84, 20, 2.61, 20, 8.07]) + WhiteKernel(noise_level=3.51e-07)"
424,T,without_delta_frac_A,"1.74**2 * RBF(length_scale=[0.433, 2.42, 20, 3.17, 20, 20]) + WhiteKernel(noise_level=9.36e-08)"
424,Cb,without_delta_Tc,"1.68**2 * RBF(length_scale=[0.692, 5.33, 20, 14.6, 20, 8.62]) + WhiteKernel(noise_level=3.14e-06)"
424,T,without_delta_Tc,"3.54**2 * RBF(length_scale=[0.527, 7.65, 11.6, 8.89, 20, 20]) + WhiteKernel(noise_level=4.36e-06)"
424,Cb,initial_only,"2.72**2 * RBF(length_scale=[1.04, 1.94, 20, 4.3, 20, 14.1]) + WhiteKernel(noise_level=3.18e-05)"
424,T,initial_only,"2.4**2 * RBF(length_scale=[0.488, 2.84, 16, 4.68, 20, 20]) + WhiteKernel(noise_level=2.17e-07)"
424,Cb,disturbance_only,"1.42**2 * RBF(length_scale=[0.564, 1.8, 20, 7.61, 20, 6.38]) + WhiteKernel(noise_level=5.78e-07)"
424,T,disturbance_only,"2.05**2 * RBF(length_scale=[0.501, 2.28, 9.57, 4.52, 20, 9.57]) + WhiteKernel(noise_level=2.29e-06)"
496,Cb,full,"1.13**2 * RBF(length_scale=[0.601, 5.47, 20, 2.56, 20, 6.69]) + WhiteKernel(noise_level=4.51e-08)"
496,T,full,"2.46**2 * RBF(length_scale=[0.503, 2.75, 20, 7.44, 20, 8.99]) + WhiteKernel(noise_level=1.11e-08)"
496,Cb,without_delta_frac_A,"2.89**2 * RBF(length_scale=[1.25, 1.76, 20, 4.54, 20, 11.6]) + WhiteKernel(noise_level=4.21e-05)"
496,T,without_delta_frac_A,"1.9**2 * RBF(length_scale=[0.5, 2.27, 20, 5, 20, 20]) + WhiteKernel(noise_level=2.11e-08)"
496,Cb,without_delta_Tc,"2.03**2 * RBF(length_scale=[1.34, 4.43, 20, 10.1, 20, 9.84]) + WhiteKernel(noise_level=1.71e-05)"
496,T,without_delta_Tc,"4.08**2 * RBF(length_scale=[0.618, 6.16, 11.5, 16.2, 20, 20]) + WhiteKernel(noise_level=1.04e-05)"
496,Cb,initial_only,"3.33**2 * RBF(length_scale=[1.24, 1.86, 20, 7.16, 20, 15.8]) + WhiteKernel(noise_level=3.71e-05)"
496,T,initial_only,"2.42**2 * RBF(length_scale=[0.511, 2.46, 12.1, 13.9, 20, 20]) + WhiteKernel(noise_level=7.14e-07)"
496,Cb,disturbance_only,"1.94**2 * RBF(length_scale=[1.46, 2.26, 20, 20, 20, 6.99]) + WhiteKernel(noise_level=2.21e-05)"
