test_batch,output,strategy,learned_kernel
257,T,nearest_target,"1.86**2 * RBF(length_scale=[0.447, 8.69, 20, 3.28, 9.07, 5.02]) + WhiteKernel(noise_level=6.16e-06)"
257,Cb,nearest_transition,"1.61**2 * RBF(length_scale=[1.02, 3.43, 20, 7.71, 20, 4.96]) + WhiteKernel(noise_level=1.34e-05)"
257,T,nearest_transition,"3.73**2 * RBF(length_scale=[0.711, 4.74, 16.1, 6.37, 20, 15.8]) + WhiteKernel(noise_level=5.38e-05)"
314,Cb,recent,"2.19**2 * RBF(length_scale=[0.877, 1.95, 20, 4.65, 20, 8.44]) + WhiteKernel(noise_level=7.05e-05)"
314,T,recent,"2.94**2 * RBF(length_scale=[0.51, 3.28, 12.9, 4.83, 20, 10]) + WhiteKernel(noise_level=6.44e-07)"
314,Cb,random,"1.83**2 * RBF(length_scale=[0.526, 1.86, 20, 2.71, 20, 7.52]) + WhiteKernel(noise_level=1.9e-06)"
314,T,random,"3.31**2 * RBF(length_scale=[0.487, 3.12, 13.7, 2.91, 11.2, 14.9]) + WhiteKernel(noise_level=8.05e-06)"
314,Cb,nearest_initial,"2.35**2 * RBF(length_scale=[0.632, 1.72, 20, 5.31, 20, 13.1]) + WhiteKernel(noise_level=5.15e-06)"
314,T,nearest_initial,"2.96**2 * RBF(length_scale=[0.476, 2.77, 10.1, 4.47, 20, 20]) + WhiteKernel(noise_level=4.4e-07)"
314,Cb,nearest_target,"2.55**2 * RBF(length_scale=[1.35, 8.86, 20, 10.7, 20, 7.95]) + WhiteKernel(noise_level=4.24e-05)"
314,T,nearest_target,"2.85**2 * RBF(length_scale=[0.468, 14.5, 20, 4.46, 18.3, 12.3]) + WhiteKernel(noise_level=4.23e-08)"
314,Cb,nearest_transition,"2.95**2 * RBF(length_scale=[1.33, 5.39, 20, 15.6, 20, 9.06]) + WhiteKernel(noise_level=4e-05)"
314,T,nearest_transition,"2.2**2 * RBF(length_scale=[0.453, 6.35, 20, 8.43, 20, 20]) + WhiteKernel(noise_level=1e-08)"
332,Cb,recent,"2.2**2 * RBF(length_scale=[0.848, 1.96, 20, 4.15, 20, 9.24]) + WhiteKernel(noise_level=7.81e-05)"
332,T,recent,"2.7**2 * RBF(length_scale=[0.491, 3.04, 14.9, 3.13, 20, 13.6]) + WhiteKernel(noise_level=1.99e-07)"
332,Cb,random,"1.7**2 * RBF(length_scale=[0.503, 1.81, 20, 3.78, 20, 6.74]) + WhiteKernel(noise_level=1.69e-06)"
332,T,random,"2.69**2 * RBF(length_scale=[0.477, 2.82, 12, 3.4, 15.9, 8.17]) + WhiteKernel(noise_level=1.71e-05)"
332,Cb,nearest_initial,"2.51**2 * RBF(length_scale=[1.01, 1.96, 20, 4.19, 20, 14.6]) + WhiteKernel(noise_level=4.23e-05)"
332,T,nearest_initial,"2.86**2 * RBF(length_scale=[0.484, 2.94, 12.2, 3.85, 20, 20]) + WhiteKernel(noise_level=6.79e-08)"
